#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	a2
#Site=	plain
#Title=	bolusa2plain
#Remark=	com
#Date=	16.01.2026 14:06
#Acquired=	16.01.2026 14:06:16
1088.2	25
1089.31	28
1090.43	25
1091.55	23
1092.67	29
1093.78	27
1094.9	29
1096.02	25.5
1097.14	26
1098.25	26
1099.37	26
1100.49	31.5
1101.6	27
1102.72	22
1103.83	26
1104.95	24.5
1106.07	22.5
1107.18	27.5
1108.3	27
1109.41	28.5
1110.52	31
1111.64	25
1112.75	26
1113.87	24.5
1114.98	29
1116.1	29
1117.21	26
1118.32	25.5
1119.44	26.5
1120.55	26
1121.66	24.5
1122.78	28.5
1123.89	22.5
1125	25
1126.11	25
1127.23	26
1128.34	26
1129.45	26
1130.56	24
1131.67	27.5
1132.78	25
1133.89	29.5
1135	21
1136.12	23
1137.23	22.5
1138.34	26
1139.45	26
1140.56	24
1141.67	23
1142.78	26
1143.89	25.5
1144.99	25
1146.1	23
1147.21	24.5
1148.32	24
1149.43	27
1150.54	27
1151.65	22.5
1152.75	24.5
1153.86	25
1154.97	23.5
1156.08	22
1157.18	24.5
1158.29	22
1159.4	26
1160.5	26.5
1161.61	24.5
1162.72	24.5
1163.82	28.5
1164.93	26
1166.03	25.5
1167.14	25
1168.24	25.5
1169.35	24.5
1170.45	25.5
1171.56	26.5
1172.66	21
1173.77	27
1174.87	23.5
1175.98	23.5
1177.08	25
1178.19	23.5
1179.29	25
1180.39	25.5
1181.5	25.5
1182.6	24
1183.7	25
1184.8	25
1185.91	22.5
1187.01	22
1188.11	28
1189.21	25.5
1190.32	25.5
1191.42	25
1192.52	26.5
1193.62	26
1194.72	25.0017
1195.82	27.9041
1196.92	27.0639
1198.02	24.966
1199.12	22.071
1200.22	25.7961
1201.32	22.0241
1202.42	26.5231
1203.52	22.2407
1204.62	24.4625
1205.72	28.7597
1206.82	23.0986
1207.92	24.601
1209.02	18.5623
1210.12	27.81
1211.22	29.4961
1212.31	22.1232
1213.41	23.2866
1214.51	23.4747
1215.61	25.0376
1216.71	25.8699
1217.8	25.1982
1218.9	24.2926
1220	25.5655
1221.09	23.0407
1222.19	25.9817
1223.29	23.1591
1224.38	21.0622
1225.48	22.9051
1226.58	25.284
1227.67	23.8427
1228.77	25.759
1229.86	23.4191
1230.96	24.3331
1232.05	23.7936
1233.15	26.7337
1234.24	23.7807
1235.34	24.7078
1236.43	27.4648
1237.52	24.4464
1238.62	24.3679
1239.71	24.4067
1240.81	24.2243
1241.9	21.3107
1242.99	25.9858
1244.09	24.3703
1245.18	23.3288
1246.27	24.8601
1247.36	23.1661
1248.46	28.4169
1249.55	24.5211
1250.64	27
1251.73	25.7535
1252.82	22.0991
1253.92	23.9763
1255.01	26.7383
1256.1	25.3577
1257.19	28.3013
1258.28	25.9499
1259.37	27.1663
1260.46	26.3011
1261.55	27.0527
1262.64	25.7027
1263.73	23.1396
1264.82	24.5278
1265.91	25.0341
1267	27.2776
1268.09	25.3489
1269.18	25.5787
1270.27	25.9935
1271.36	26.9058
1272.45	27.5334
1273.53	23.1792
1274.62	24.6379
1275.71	23.888
1276.8	25.9613
1277.89	23.4544
1278.97	26.0066
1280.06	24.9313
1281.15	25.9332
1282.23	26.3908
1283.32	25.447
1284.41	23.632
1285.49	22.8365
1286.58	22.6286
1287.67	26.2984
1288.75	26.6855
1289.84	25.4144
1290.92	27.8132
1292.01	26.2272
1293.09	25.0208
1294.18	23.8139
1295.26	24.3349
1296.35	26.9449
1297.43	24.3159
1298.52	23.4547
1299.6	25.9571
1300.69	25.6627
1301.77	25.0417
1302.85	23.1486
1303.94	24.9727
1305.02	25.6477
1306.1	25.8334
1306.42	26
1307.51	25
1308.59	23.5
1309.68	26
1310.77	25.5
1311.86	26
1312.95	23.5
1314.03	26
1315.12	25.5
1316.21	26.5
1317.29	22.5
1318.38	23
1319.47	25
1320.55	25.5
1321.64	27.5
1322.72	26
1323.81	23
1324.89	23
1325.98	23.5
1327.07	23.5
1328.15	25
1329.24	24.5
1330.32	24
1331.4	23
1332.49	26
1333.57	22
1334.66	28
1335.74	24.5
1336.82	23
1337.91	25
1338.99	28
1340.07	23
1341.16	25.5
1342.24	26.5
1343.32	29
1344.4	27
1345.49	22
1346.57	25.5
1347.65	23.5
1348.73	21.5
1349.81	28.5
1350.9	29
1351.98	26
1353.06	24.5
1354.14	26
1355.22	28
1356.3	25.5
1357.38	23.5
1358.46	26.5
1359.54	28.5
1360.62	25
1361.7	25
1362.78	23
1363.86	28.5
1364.94	23.5
1366.02	23
1367.1	24
1368.17	21.5
1369.25	27
1370.33	23.5
1371.41	23.5
1372.49	26
1373.57	27.5
1374.64	24.5
1375.72	29.5
1376.8	22
1377.87	26
1378.95	24.5
1380.03	26.5
1381.1	23.5
1382.18	28.5
1383.26	26
1384.33	23.5
1385.41	25.5
1386.49	24
1387.56	27
1388.64	24.5
1389.71	24
1390.79	27.5
1391.86	23.5
1392.94	28
1394.01	25.5
1395.08	24.5
1396.16	29
1397.23	23
1398.31	27.5
1399.38	26.5
1400.45	31.5
1401.53	29
1402.6	32
1403.67	35.5
1404.75	27.5
1405.82	32.5
1406.89	26.5
1407.96	32.5
1409.04	34
1410.11	33
1411.18	30
1412.25	35
1413.32	30
1414.39	36
1415.47	31.5
1416.54	32
1417.61	31.5
1418.68	28.5
1419.75	29.5
1420.82	26.5
1421.89	29
1422.96	24
1424.03	28
1425.1	30.5
1426.17	28.5
1427.24	28
1428.31	25.5
1429.38	26.5
1430.44	27
1431.51	29.5
1432.58	29
1433.65	27
1434.72	25
1435.79	26.5
1436.85	28.5
1437.92	23
1438.99	26
1440.05	26
1441.12	26.5
1442.19	28.5
1443.26	26.5
1444.32	25
1445.39	29.5
1446.46	27
1447.52	27
1448.59	28.5
1449.65	23.5
1450.72	28.5
1451.78	24
1452.85	23.5
1453.91	27
1454.98	27.5
1456.04	25
1457.11	27
1458.17	23.5
1459.24	27.5
1460.3	27.5
1461.36	27.5
1462.43	28.5
1463.49	24
1464.56	27
1465.62	24
1466.68	24
1467.74	22
