#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
791.026	32.5
792.192	34
793.36	30.5
794.526	29
795.693	30
796.86	30.5
798.025	30
799.191	28.5
800.356	27
801.523	25
802.689	28.5
803.853	31
805.019	32
806.183	28
807.348	25.5
808.512	28
809.677	28
810.84	24.5
812.005	27
813.167	27
814.332	28.5
815.494	32
816.657	24
817.82	30.5
818.982	29.5
820.146	24
821.307	25.5
822.47	28.5
823.632	28
824.793	28
825.955	24.5
827.116	29
828.277	30.5
829.439	27
830.599	28
831.759	22
832.92	30
834.08	27
835.24	26.5
836.4	27.5
837.56	26.5
838.719	26
839.877	27.5
841.037	26.5
842.196	28
843.354	30.5
844.512	25.5
845.672	24
846.83	25
847.987	28.5
849.145	30
850.302	24.5
851.46	30
852.617	29
853.774	27
854.93	29
856.087	29
857.243	26.5
858.4	30
859.556	28
860.712	29.5
861.867	31
863.022	32
864.177	33
865.332	28.5
866.487	29
867.642	29
868.796	26.5
869.95	33
871.104	28
872.258	25.5
873.412	26
874.565	27.5
875.718	25
876.872	31
878.024	28
879.177	26.5
880.33	30
881.482	29
882.635	27.5
883.787	26
884.938	24.5
886.09	22
887.242	32
888.393	23
889.544	23.5
890.695	26.5
891.845	28
892.995	24
894.146	29.5
895.296	26
896.446	27
897.596	27
898.744	28.5
899.894	23
901.043	26.5
902.193	25.5
903.342	28.5
904.489	25
905.638	21
906.786	25.5
907.935	25.5
909.081	24
910.229	28.5
911.377	27.5
912.525	22.5
913.671	29
914.818	25
915.965	27
917.111	27.5
918.258	26
919.404	26.5
920.549	25.5
921.695	24
922.84	25.5
923.986	26
925.132	27.5
926.276	28.5
927.421	24
928.565	27
929.71	24.5
930.855	30.5
931.998	25.5
933.142	26
934.285	28.5
935.429	25
936.572	29
937.716	25.5
938.858	20
940.001	30
941.143	24.5
942.286	25.5
943.428	29
944.57	25
945.712	22.5
946.854	20.5
947.995	29
949.135	27
950.277	25
951.418	30
952.559	25
953.699	23
954.839	25
955.98	23.5
957.119	28
958.258	26
959.399	23
960.538	26.5
961.676	22.5
962.816	29
963.955	25
965.093	24.5
966.232	28.5
967.37	29.5
968.508	25.5
969.645	21
970.784	23.5
971.921	26
973.058	27
974.195	27.5
975.333	27
976.469	23.5
977.605	24
978.741	27
979.877	25
981.013	27.5
982.15	28.5
983.285	24
984.421	28
985.556	26
986.691	23.5
987.825	23.5
988.96	27
990.094	26.5
991.228	27
992.364	25
993.497	27
994.631	28
995.765	26
996.898	23.5
998.031	26
999.164	25
1000.3	26.5
1001.43	24
1002.56	25.5
1003.69	28.5
1004.83	24
1005.96	27
1007.09	27.5
1008.22	26
1009.35	25
1010.48	21
1011.61	27
1012.74	25
1013.88	25
1015.01	24
1016.14	28.5
1017.27	24
1018.4	22.5
1019.53	23
1020.65	24
1021.78	30.5
1022.91	27
1024.04	25
1025.17	25
1026.3	26.5
1027.43	25
1028.56	25
1029.68	29.5
1030.81	25.5
1031.94	23
1033.07	27
1034.19	27
1035.32	25
1036.45	25
1037.58	26.5
1038.7	26
1039.83	22
1040.95	20
1042.08	21
1043.21	25.5
1044.33	26
1045.46	24.5
1046.58	23
1047.71	23.5
1048.83	22
1049.96	26
1051.08	24
1052.21	23.5
1053.33	23.5
1054.45	27
1055.58	26
1056.7	23.5
1057.82	27.5
1058.95	28
1060.07	24
