#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	smp
#Site=	01-05-25
#Title=	A2_m05
#Remark=	smp5
#Date=	01.04.2025 14:03
#Acquired=	01.04.2025 14:03:44
778.691	36
779.859	32.5
781.028	35
782.198	37
783.367	35
784.534	39
785.703	37.5
786.871	40.5
788.038	36.5
789.206	41
790.374	35
791.54	37.5
792.708	32
793.874	34
795.041	32
796.208	37.5
797.374	38
798.54	33.5
799.705	31
800.872	31
802.038	38
803.202	35
804.368	33.5
805.532	29.5
806.697	39
807.861	32
809.026	30.5
810.19	31
811.354	34
812.517	35
813.682	31.5
814.844	34
816.008	29
817.171	33
818.334	30
819.496	33.5
820.658	28
821.821	36
822.983	32
824.145	33
825.306	31.5
826.467	34
827.629	30
828.79	32.5
829.95	33.5
831.112	28
832.272	34
833.432	34
834.593	33
835.752	33.5
836.912	29
838.072	29
839.231	30.5
840.39	33.5
841.548	30.5
842.708	29
843.866	31.5
845.025	30.5
846.182	32
847.341	30.5
848.499	30
849.656	31
850.813	31
851.97	33
853.129	32.5
854.285	33.5
855.442	32
856.598	38
857.754	33
858.91	34
860.066	37.5
861.223	34
862.378	33.5
863.533	35
864.688	38
865.843	31.5
866.998	33
868.152	30
869.306	30
870.46	32.5
871.614	33.5
872.768	34
873.922	31.5
875.075	27.5
876.228	37
877.381	32
878.534	32
879.687	32
880.839	31.5
881.992	34.5
883.144	31.5
884.296	32.5
885.448	27
886.599	32
887.751	33.5
888.902	28.5
890.053	30.5
891.203	27.5
892.353	29.5
893.504	30
894.654	29.5
895.805	27
896.955	36
898.103	30.5
899.253	29
900.402	32
901.552	29
902.701	28
903.848	29.5
904.997	31
906.146	26
907.294	32.5
908.442	24.5
909.589	32
910.737	31
911.885	30.5
913.031	29.5
914.178	27
915.326	27
916.471	23
917.618	27.5
918.765	32.5
919.91	33
921.056	31
922.202	28
923.347	32.5
924.493	30
925.638	28.5
926.782	29.5
927.928	30
929.071	30
930.216	30.5
931.361	29
932.504	29
933.648	29
934.791	27.5
935.935	31.5
937.078	30
938.221	30.5
939.364	26.5
940.507	28
941.649	30
942.792	28.5
943.933	29
945.076	28
946.217	35
947.359	27.5
948.5	32.5
949.64	28
950.782	28
951.922	29
953.064	31
954.204	26.5
955.343	30.5
956.484	26.5
957.623	28
958.763	29
959.903	31
961.042	28.5
962.18	28.5
963.32	29.5
964.458	33
965.597	29
966.736	29
967.874	31
969.011	28.5
970.149	28.5
971.287	28
972.424	29.25
973.561	29.5
974.698	28
975.836	30.5
976.972	31.5
978.108	28
979.244	25
980.38	29.5
981.516	31
982.653	32.5
983.788	35.5
984.923	32
986.058	32
987.193	30
988.328	28.5
989.462	26
990.596	31
991.732	24.5
992.866	28.5
993.999	28.5
995.133	31
996.266	34
997.4	27
998.533	29.5
999.666	26.5
1000.8	31.5
1001.93	29.5
1003.06	27
1004.2	29
1005.33	31
1006.46	30.5
1007.59	27
1008.72	28.5
1009.85	29
1010.99	29
1012.12	33
1013.25	27
1014.38	26.5
1015.51	31.5
1016.64	31
1017.77	28.5
1018.9	25.5
1020.03	32
1021.16	30
1022.28	29.5
1023.41	32
1024.54	29.5
1025.67	31.5
1026.8	29.5
1027.93	31
1029.06	26
1030.18	30
1031.31	31
1032.44	27
1033.57	29
1034.69	28.5
1035.82	23.5
1036.95	30.5
1038.07	29.5
1039.2	28.5
1040.33	27
1041.45	29.5
1042.58	25.5
1043.7	29
1044.83	29
1045.96	26
1047.08	29
1048.21	28
1049.33	27
1050.45	27.5
1051.58	27.5
1052.7	25
1053.83	28.5
1054.95	32.5
1056.08	31
1057.2	29
1058.32	28
1059.45	28
1060.57	29
1061.69	27.5
1062.81	28
1063.94	29
1065.06	30
1066.18	28
1067.3	26.5
1068.42	30.5
1069.55	28.5
1070.67	30.5
1071.79	28
1072.91	29
1074.03	25.5
1075.15	25.5
1076.27	28
1077.39	30.5
1078.51	27.5
1079.63	26
1080.75	28
1081.87	30
1082.99	30
1084.11	29
1085.23	29.5
1086.35	28
1087.46	26
1088.58	29.5
1089.7	25.5
1090.82	27.5
1091.94	29
1093.05	27
1094.17	26
1095.29	29.5
1096.41	25
1097.52	28.5
1098.64	29
1099.76	28
1100.87	29
1101.99	24.5
1103.1	26
1104.22	24.5
1105.34	26
1106.45	30
1107.57	30
1108.68	24.5
1109.8	30.5
1110.91	25.5
1112.03	25
1113.14	29
1114.25	29.5
1115.37	30.5
1116.48	26.5
1117.6	29
1118.71	24.5
1119.82	29
1120.94	26
1122.05	28
1123.16	29
1124.27	31
1125.39	26
