#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...2000
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS_LWD
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Medicas
#Sample=	01
#Site=	01-05-25
#Title=	A1_m06
#Remark=	smp5
#Date=	01.04.2025 14:36
#Acquired=	01.04.2025 14:36:15
1355.07	51
1356.15	49.5
1357.23	47
1358.31	55
1359.39	52.5
1360.47	51
1361.55	51
1362.63	53
1363.71	55
1364.79	47.5
1365.87	51
1366.95	51.5
1368.02	48
1369.1	54.5
1370.18	56.5
1371.26	47.5
1372.34	51.5
1373.42	56.5
1374.49	54.5
1375.57	54
1376.65	52
1377.72	51
1378.8	53.5
1379.88	50.5
1380.95	55
1382.03	57
1383.11	52
1384.18	53
1385.26	56
1386.34	51
1387.41	55.5
1388.49	58.5
1389.56	52.5
1390.64	55.5
1391.71	58
1392.79	58.5
1393.86	57.5
1394.94	61
1396.01	56.5
1397.08	59.5
1398.16	59
1399.23	65
1400.31	65
1401.38	72
1402.45	69.5
1403.53	69.5
1404.6	65.5
1405.67	77
1406.74	74.5
1407.82	76
1408.89	77
1409.96	73
1411.03	77
1412.1	82
1413.18	84.5
1414.25	78.5
1415.32	74.5
1416.39	72
1417.46	71.5
1418.53	67
1419.6	71
1420.67	67.5
1421.74	68.5
1422.81	68
1423.88	59.5
1424.95	67
1426.02	56
1427.09	67.5
1428.16	60.5
1429.23	56
1430.3	60.5
1431.36	60.5
1432.43	61.5
1433.5	54.5
1434.57	55.5
1435.64	58.5
1436.71	59
1437.77	55.5
1438.84	55
1439.91	56.5
1440.97	52
1442.04	53.5
1443.11	57.5
1444.18	59
1445.24	53
1446.31	52
1447.37	50.5
1448.44	55.5
1449.51	55.5
1450.57	56
1451.64	55
1452.7	57
1453.77	59
1454.83	58
1455.9	57.5
1456.96	55.5
1458.03	50
1459.09	50
1460.15	52.5
1461.22	51
1462.28	52.5
1463.35	50.5
1464.41	48.5
1465.47	55.5
1466.53	56.5
1467.6	54.5
1468.66	58
1469.72	52.5
1470.79	52.5
1471.85	51.5
1472.91	55.5
1473.97	55
1475.03	52
1476.1	58
1477.16	54.5
1478.22	48
1479.28	57.5
1480.34	55
1481.4	52
1482.46	54.5
1483.52	54
1484.58	55
1485.64	56.5
1486.7	56
1487.76	54.5
1488.82	52
1489.88	53
1490.94	59
1492	55
1493.06	55
1494.12	50.5
1495.17	51
1496.23	56.5
1497.29	53.5
1498.35	55.5
1499.41	54.5
1500.46	53.5
1501.52	53
1502.58	53.5
1503.64	56
1504.69	53
1505.75	50
1506.81	56.5
1507.86	52.5
1508.92	49
1509.98	56
1511.03	55
1512.09	59
1513.14	54.5
1514.2	53.5
1515.26	54
1516.31	53
1517.37	50.5
1518.42	53.5
1519.47	49
1520.53	50.5
1521.58	54
1522.64	53
1523.69	51.5
1524.75	48.5
1525.8	56
1526.85	47
1527.91	50
1528.96	53.5
1530.01	52.5
1531.07	54.5
1532.12	54
1533.17	54
1534.22	50.5
1535.28	54
1536.33	50.5
1537.38	50.5
1538.43	54.5
1539.48	49.5
1540.54	55
1541.59	52
1542.64	54
1543.69	53
1544.74	51
1545.79	53
1546.84	50.5
1547.89	47.5
1548.94	48.5
1549.99	54
1551.04	50
1552.09	48
1553.14	50
1554.19	52
1555.24	51
1556.29	51
1557.34	47.5
1558.38	46.5
1559.43	52
1560.48	48.5
1561.53	50
1562.58	52
1563.62	50
1564.67	54
1565.72	51
1566.77	57.5
1567.81	49.5
1568.86	49
1569.91	50.5
1570.95	51.5
1572	52
1573.05	55
1574.09	49.5
1575.14	50
1576.18	46
1577.23	52
1578.28	46
1579.32	51
1580.37	51.5
1581.41	51
1582.46	51
1583.5	53
1584.55	53
1585.59	50.5
1586.63	49.5
1587.68	52.5
1588.72	51
1589.76	55
